Alternative;C1;C2;C3;C4;C5;C6;C7;C8;C9
Alpha ;11087892.00;38871.00;-134.00;39.30;-1974763.00;-398219.00;-418952.00;1.00;-550000000.00
Beta;2388016.00;4459.00;-122.00;24.40;-16829988.37;-160812.90;-4963015.00;4.00;-66303.00
Delta;1284855.00;5650.00;-167.00;2.70;-3163013.38;-334300.00;-13800.00;2.00;0.00
Gamma;2301008.00;14694.00;-340.00;4.30;-165380.87;-2573775.42;-357986.58;4.00;0.00
